epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,96.4296,3.71567,1.37845,0.31758,3.2144,179.083,0.02252,0.08088,0.005,0.00112,0.28493,0.55882,0.32324,0.20467,2.99894,1.74244,0.37282,7.38573,52.999,0.0017096,0.0017096,0.0017096
46,189.881,2.60522,1.42362,0.36594,2.49482,4.48386,0.22965,0.15441,0.12683,0.03291,0.76001,0.69853,0.81063,0.52999,1.44086,0.91668,0.21935,37.9112,1.78632,0.001703,0.001703,0.001703
47,295.682,2.01081,1.07539,0.34604,1.86582,2.59682,0.18111,0.53676,0.14186,0.04406,0.26172,0.69118,0.28142,0.1665,1.39725,1.11628,0.17559,271.541,1.72107,0.0016964,0.0016964,0.0016964
48,444.845,2.04572,0.92123,0.34091,1.73718,2.69779,0.22701,0.47059,0.18473,0.05305,0.53857,0.72794,0.65324,0.53857,1.50749,0.70518,0.23723,39.6708,1.55232,0.0016898,0.0016898,0.0016898
49,578.145,1.91783,0.63264,0.32455,1.70108,2.87087,0.24693,0.49265,0.21596,0.06689,0.54831,0.73529,0.62418,0.39489,1.58116,0.96293,0.29254,22.1494,1.75319,0.0016832,0.0016832,0.0016832
50,713.848,1.83187,0.60576,0.27389,1.59068,2.04521,0.12697,0.60294,0.09852,0.03657,0.18087,0.85294,0.17739,0.11926,1.32047,0.78661,0.15017,206.698,1.44769,0.0016766,0.0016766,0.0016766
51,858.992,1.74472,0.52127,0.25796,1.51271,1.96393,0.44187,0.52206,0.44794,0.13611,0.70949,0.83824,0.81835,0.68977,1.37252,0.83145,0.22155,28.0089,1.49635,0.00167,0.00167,0.00167
52,996.238,1.75096,0.65777,0.27028,1.52962,2.76626,0.47327,0.61029,0.4648,0.17239,0.74196,0.77941,0.7968,0.67633,1.24015,0.57092,0.08812,24.9952,1.34439,0.0016634,0.0016634,0.0016634
53,1147.51,1.70721,0.55884,0.23882,1.47239,2.13452,0.48463,0.66176,0.54855,0.20102,0.67559,0.86029,0.83638,0.78711,1.15398,0.34922,0.06843,32.9358,1.38033,0.0016568,0.0016568,0.0016568
54,1579.41,1.72831,0.58486,0.21673,1.46829,2.07027,0.7348,0.50935,0.61242,0.24004,0.76568,0.84094,0.88415,0.66344,1.43993,0.89465,0.08002,26.3842,1.55359,0.0016502,0.0016502,0.0016502
55,2288.1,1.73212,0.62081,0.20085,1.42594,2.0552,0.60408,0.66193,0.61288,0.28045,0.79747,0.88235,0.89089,0.80291,1.36146,0.58058,0.06051,35.0843,1.43884,0.0016436,0.0016436,0.0016436
56,2536.38,1.68473,0.62057,0.21508,1.3752,1.94732,0.58086,0.63177,0.58976,0.20516,0.64938,0.79412,0.78258,0.50885,1.22489,0.83131,0.10323,11.6225,1.24402,0.001637,0.001637,0.001637
57,2725.82,1.60624,0.53009,0.26089,1.3983,1.84293,0.55188,0.52523,0.50697,0.16932,0.77022,0.83824,0.88942,0.73296,1.42165,0.62316,0.11381,19.7619,1.45516,0.0016304,0.0016304,0.0016304
58,2885.73,1.57636,0.3852,0.20187,1.30109,1.83605,0.76579,0.69853,0.76429,0.37143,0.80995,0.81478,0.88611,0.84874,1.03525,0.40457,0.12708,3.70121,1.16673,0.0016238,0.0016238,0.0016238
59,3046.33,1.60876,0.47248,0.2079,1.37811,1.77956,0.67686,0.58088,0.62234,0.27353,0.84506,0.72187,0.87212,0.75565,1.15592,0.53033,0.06691,14.7965,1.25478,0.0016172,0.0016172,0.0016172
60,3230.5,1.60411,0.47307,0.20743,1.41548,1.90931,0.65167,0.68782,0.73365,0.37755,0.6615,0.71324,0.79991,0.69027,0.98623,0.40124,0.05891,18.8606,1.13442,0.0016106,0.0016106,0.0016106
61,3374.47,1.60698,0.61098,0.22404,1.34537,1.88741,0.78148,0.72059,0.78093,0.30195,0.75433,0.86765,0.90371,0.80213,1.30216,0.41931,0.03773,10.0038,1.2519,0.001604,0.001604,0.001604
62,3490.06,1.54418,0.49846,0.19587,1.32191,1.77559,0.69521,0.70443,0.71447,0.29046,0.82581,0.83824,0.90358,0.79072,1.14772,0.44604,0.06818,4.90828,1.14677,0.0015974,0.0015974,0.0015974
63,3616.87,1.61718,0.37515,0.17356,1.30608,1.77342,0.64685,0.78115,0.7632,0.4901,0.71385,0.88235,0.8719,0.82385,0.85245,0.30303,0.06364,10.8013,0.98518,0.0015908,0.0015908,0.0015908
64,3733.14,1.45942,0.4337,0.16711,1.26993,1.64784,0.7595,0.74305,0.7737,0.36003,0.76431,0.83088,0.89659,0.81625,1.04368,0.40649,0.04518,16.5014,1.10253,0.0015842,0.0015842,0.0015842
65,3881.17,1.41557,0.359,0.18394,1.2735,1.59103,0.76271,0.70906,0.78449,0.3874,0.84353,0.82353,0.92449,0.87031,1.06481,0.28056,0.0911,12.0038,1.16658,0.0015776,0.0015776,0.0015776
66,823.886,1.58209,0.4512,0.18607,1.26203,2.35368,0.5593,0.58824,0.57216,0.24244,0.73412,0.71324,0.81049,0.73799,1.07524,0.25054,0.09631,14.4709,1.12286,0.001571,0.001571,0.001571
67,960.545,1.53225,0.44357,0.17682,1.2607,1.90148,0.77155,0.74502,0.76925,0.39261,0.78626,0.8385,0.90931,0.88105,0.98753,0.23119,0.03396,9.46358,1.07147,0.0015644,0.0015644,0.0015644
68,1108.54,1.44926,0.43552,0.16156,1.22818,1.72058,0.76495,0.58824,0.62686,0.20654,0.81745,0.90441,0.93747,0.66438,1.5564,0.45875,0.04567,7.31372,1.47714,0.0015578,0.0015578,0.0015578
69,1255.37,1.58553,0.41187,0.14212,1.23543,1.77614,0.58386,0.66912,0.60173,0.17123,0.80706,0.86029,0.91957,0.81561,1.35816,0.28789,0.08229,11.1363,1.33557,0.0015512,0.0015512,0.0015512
70,1422.23,1.43122,0.39478,0.18486,1.28166,1.70067,0.65442,0.738,0.66765,0.30113,0.8589,0.94118,0.9667,0.93655,1.21898,0.19117,0.01441,7.39769,1.20348,0.0015446,0.0015446,0.0015446
71,1545.35,1.41017,0.40977,0.15279,1.18768,1.63156,0.76955,0.68382,0.78823,0.46,0.77502,0.85294,0.9047,0.87128,0.92205,0.24752,0.0307,8.42104,1.00927,0.001538,0.001538,0.001538
72,1673.93,1.46573,0.40764,0.14282,1.20476,1.66054,0.6974,0.69853,0.73658,0.34975,0.78424,0.86765,0.91794,0.89738,1.03646,0.21465,0.07977,5.61925,1.09494,0.0015314,0.0015314,0.0015314
73,1816.51,1.5093,0.52511,0.18051,1.18669,1.72577,0.65438,0.6961,0.60603,0.22906,0.78485,0.88971,0.87374,0.77968,1.34269,0.34546,0.04771,5.65373,1.26462,0.0015248,0.0015248,0.0015248
74,1975.98,1.42259,0.40598,0.12823,1.20364,1.68592,0.80222,0.71582,0.79281,0.31737,0.81296,0.85294,0.90635,0.85097,1.12034,0.26788,0.00951,9.22828,1.16069,0.0015182,0.0015182,0.0015182
75,2160.09,1.4689,0.39613,0.14453,1.15107,1.66523,0.81266,0.76553,0.82628,0.37908,0.85912,0.91912,0.94226,0.92185,1.06186,0.18866,0.0112,7.90901,1.08156,0.0015116,0.0015116,0.0015116
76,2332.03,1.41816,0.45439,0.13711,1.19634,1.66347,0.68468,0.7504,0.7462,0.48506,0.72887,0.83088,0.85044,0.77865,0.85228,0.36767,0.10026,5.75459,0.96937,0.001505,0.001505,0.001505
77,2491.74,1.46333,0.41622,0.12677,1.17475,1.67975,0.79876,0.64706,0.74494,0.32615,0.77747,0.84776,0.9185,0.83963,1.13368,0.24717,0.18315,10.9503,1.12019,0.0014984,0.0014984,0.0014984
78,2650.21,1.4005,0.37733,0.17152,1.14174,1.60358,0.78394,0.72034,0.78578,0.47843,0.75361,0.74217,0.85751,0.81665,0.84699,0.28361,0.01539,6.40121,0.94251,0.0014918,0.0014918,0.0014918
79,2821.3,1.33864,0.32782,0.13407,1.10034,1.56139,0.8034,0.72113,0.80951,0.4409,0.72185,0.85294,0.88198,0.81918,0.9132,0.25353,0.01886,7.70367,0.99219,0.0014852,0.0014852,0.0014852
80,3137.4,1.40392,0.30559,0.13795,1.10267,1.58024,0.81393,0.70761,0.79255,0.36242,0.79475,0.91108,0.91274,0.84862,1.09562,0.23686,0.03346,6.73816,1.08432,0.0014786,0.0014786,0.0014786
81,3428.6,1.43579,0.38205,0.14835,1.08967,1.70363,0.80167,0.79412,0.85686,0.42161,0.86511,0.92647,0.94885,0.92659,1.0088,0.13549,0.07723,2.91935,1.00937,0.001472,0.001472,0.001472
82,3552.66,1.40339,0.41618,0.15094,1.10956,1.55388,0.86823,0.69853,0.78833,0.39479,0.85369,0.92647,0.94304,0.91627,1.15952,0.17988,0.02517,10.313,1.07993,0.0014654,0.0014654,0.0014654
83,3688.28,1.33319,0.31787,0.12645,1.12604,1.5858,0.79033,0.69853,0.80747,0.5025,0.77137,0.94853,0.91727,0.9017,0.87088,0.1589,0.01713,8.88903,0.95886,0.0014588,0.0014588,0.0014588
84,3856.85,1.40534,0.26377,0.12653,1.10812,1.6061,0.88972,0.78676,0.83622,0.3855,0.86149,0.86897,0.93731,0.88342,1.07968,0.21648,0.02845,8.69243,1.06777,0.0014522,0.0014522,0.0014522
85,4013.82,1.27528,0.30293,0.11214,1.02496,1.51398,0.88691,0.80729,0.88415,0.37276,0.8813,0.92807,0.96612,0.90593,1.08785,0.20891,0.01685,7.55253,1.12535,0.0014456,0.0014456,0.0014456
86,4152.92,1.29868,0.25561,0.12755,1.00895,1.51579,0.88524,0.80882,0.887,0.5946,0.91692,0.89706,0.97247,0.96642,0.77481,0.14634,0.00979,4.77719,0.90551,0.001439,0.001439,0.001439
87,4273.18,1.36931,0.31288,0.1233,0.9962,1.54584,0.90719,0.80882,0.87435,0.45015,0.90282,0.89706,0.95455,0.9233,0.97762,0.1779,0.01203,6.27782,1.05071,0.0014324,0.0014324,0.0014324
88,4386.38,1.44497,0.30452,0.11791,1.09368,1.59801,0.83925,0.8062,0.86527,0.41991,0.80981,0.90794,0.93656,0.90386,0.91669,0.11236,0.01491,5.59952,0.99694,0.0014258,0.0014258,0.0014258
89,4545.44,1.32366,0.36852,0.11434,1.07103,1.50907,0.87313,0.75735,0.84513,0.50901,0.83348,0.84646,0.92749,0.90807,0.88149,0.13213,0.02033,1.04395,0.93802,0.0014192,0.0014192,0.0014192
90,4685.33,1.39943,0.31565,0.11693,1.09652,1.60337,0.78637,0.79412,0.82741,0.56379,0.84085,0.92647,0.93695,0.92107,0.89143,0.14966,0.02579,1.82493,0.92242,0.0014126,0.0014126,0.0014126
