epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1219.79,0.73335,0.43028,0.27401,0.55866,1.13254,0.98291,1,0.99455,0.88822,0.96771,0.98462,0.9827,0.97928,0.38522,0.16483,0.11633,0.44581,0.84261,0.0002774,0.0002774,0.0002774
89,1232.57,0.69921,0.52194,0.2741,0.5314,1.07231,0.98244,1,0.99439,0.8927,0.96732,0.98462,0.98094,0.97747,0.37408,0.15567,0.1163,0.46934,0.8375,0.0002576,0.0002576,0.0002576
90,1245.18,0.63713,0.54549,0.31033,0.51152,1.05459,0.98208,1,0.99439,0.89094,0.96698,0.98462,0.97813,0.97117,0.36237,0.14475,0.11429,0.47024,0.82916,0.0002378,0.0002378,0.0002378
91,1257.71,0.61805,0.31162,0.17782,0.54514,1.10069,0.98327,1,0.99409,0.89534,0.96814,0.98462,0.97795,0.9684,0.33018,0.14873,0.11333,0.42563,0.82373,0.000218,0.000218,0.000218
92,1270.38,0.57879,0.39518,0.1654,0.47437,1.05652,0.98395,1,0.99485,0.88129,0.96881,0.98462,0.9789,0.9692,0.36505,0.15417,0.11353,0.41057,0.83228,0.0001982,0.0001982,0.0001982
93,1282.99,0.57544,0.29036,0.16629,0.43678,1.11883,0.98401,1,0.99485,0.87181,0.96885,0.98462,0.97992,0.9702,0.39438,0.15359,0.11235,0.41664,0.84065,0.0001784,0.0001784,0.0001784
94,1295.63,0.57171,0.27678,0.17317,0.58751,1.11353,0.98429,1,0.99485,0.89879,0.96915,0.98462,0.98348,0.97397,0.35156,0.15422,0.10978,0.40978,0.8317,0.0001586,0.0001586,0.0001586
95,1308.35,0.55335,0.24212,0.17182,0.44678,1.14192,0.98483,0.99908,0.99485,0.91055,0.96967,0.98375,0.98326,0.97363,0.31636,0.15394,0.10786,0.43686,0.82733,0.0001388,0.0001388,0.0001388
96,1320.88,0.5521,0.28978,0.12893,0.44099,1.13894,0.98483,0.99861,0.99485,0.89843,0.96966,0.98329,0.98217,0.9722,0.33754,0.15153,0.10553,0.4647,0.82985,0.000119,0.000119,0.000119
97,1333.38,0.56097,0.29532,0.13495,0.43842,1.14268,0.98484,0.9992,0.99485,0.89268,0.96967,0.98388,0.98086,0.97351,0.33849,0.14728,0.10409,0.45155,0.82948,9.92e-05,9.92e-05,9.92e-05
98,1345.73,0.53097,0.28002,0.16146,0.40921,1.05943,0.98414,1,0.99485,0.90294,0.969,0.98462,0.9802,0.97276,0.32073,0.14195,0.10213,0.39106,0.82572,7.94e-05,7.94e-05,7.94e-05
99,1358.21,0.53974,0.30989,0.18887,0.41403,1.1067,0.9839,1,0.99485,0.89722,0.96874,0.98462,0.97954,0.97106,0.32476,0.13562,0.10092,0.38115,0.82233,5.96e-05,5.96e-05,5.96e-05
100,1370.67,0.51453,0.28114,0.13796,0.43403,1.10731,0.98383,1,0.99485,0.89293,0.96869,0.98462,0.97913,0.97066,0.31966,0.13138,0.10051,0.38849,0.818,3.98e-05,3.98e-05,3.98e-05
